city,venue,bracket_id,bracket_label,size,entry_post_ts,entry_post_price,entry_fill_ts,entry_fill_price,entry_canceled,exit_post_ts,exit_post_price,exit_fill_ts,exit_fill_price,exit_reason,pnl
Miami,kalshi,KXHIGHMIA-26MAY06-B86.5,86° to 87°,10,2026-05-06T04:26:24+00:00,0.17,2026-05-06T04:41:24+00:00,0.17,False,2026-05-06T04:46:24+00:00,0.18,2026-05-06T05:01:25+00:00,0.18,filled,-1.942890293094024e-16
Miami,kalshi,KXHIGHMIA-26MAY06-B86.5,86° to 87°,10,2026-05-06T06:26:26+00:00,0.16,2026-05-06T06:46:26+00:00,0.16,False,2026-05-06T06:51:26+00:00,0.17,2026-05-06T08:16:25+00:00,0.17,filled,8.326672684688674e-17
Miami,kalshi,KXHIGHMIA-26MAY06-B88.5,88° to 89°,10,2026-05-06T08:56:25+00:00,0.55,2026-05-06T11:31:27+00:00,0.55,False,2026-05-06T11:36:27+00:00,0.56,2026-05-06T11:51:27+00:00,0.56,filled,8.326672684688674e-17
Miami,kalshi,KXHIGHMIA-26MAY06-B88.5,88° to 89°,10,2026-05-06T15:56:30+00:00,0.65,2026-05-06T16:11:31+00:00,0.65,False,2026-05-06T16:16:31+00:00,0.66,2026-05-06T16:46:31+00:00,0.66,filled,8.326672684688674e-17
Miami,kalshi,KXHIGHMIA-26MAY06-B90.5,90° to 91°,10,2026-05-06T01:41:22+00:00,0.34,2026-05-06T04:11:23+00:00,0.34,False,2026-05-06T19:26:33+00:00,0.35,2026-05-06T20:01:33+00:00,0.01,forced_close_eow,-3.4000000000000004
Miami,polymarket,100881562995294908510321203430593750218022655925410093547597547945049279894385,84-85°F,10,2026-05-06T05:41:25+00:00,0.1,2026-05-06T06:06:26+00:00,0.1,False,2026-05-06T06:11:26+00:00,0.11,2026-05-06T07:06:26+00:00,0.11,filled,0.09999999999999995
Miami,polymarket,100881562995294908510321203430593750218022655925410093547597547945049279894385,84-85°F,10,2026-05-06T07:11:26+00:00,0.1,2026-05-06T07:31:25+00:00,0.1,False,2026-05-06T14:41:30+00:00,0.11,2026-05-06T14:56:30+00:00,0.11,filled,0.09999999999999995
Miami,polymarket,64687270356227877735114551541159909514813507468449537872914426083910271559504,86-87°F,10,2026-05-06T01:21:22+00:00,0.34,2026-05-06T02:11:22+00:00,0.34,False,2026-05-06T02:16:22+00:00,0.35,2026-05-06T04:36:24+00:00,0.35,filled,0.09999999999999953
Miami,polymarket,64687270356227877735114551541159909514813507468449537872914426083910271559504,86-87°F,10,2026-05-06T08:46:26+00:00,0.27,2026-05-06T18:56:33+00:00,0.27,False,,,2026-05-06T18:51:33+00:00,0.45,forced_close_eow,1.7999999999999998
Miami,polymarket,85140689607721506665183294099894542176790118996057348173338186542361012642511,88-89°F,10,2026-05-06T13:56:29+00:00,0.43,2026-05-06T15:16:30+00:00,0.43,False,2026-05-06T15:21:30+00:00,0.44,2026-05-06T15:46:30+00:00,0.44,filled,0.10000000000000009
Miami,polymarket,114804271894982121980731173088377309764570850472853600164450085672265661761181,90-91°F,10,2026-05-06T05:06:25+00:00,0.14,2026-05-06T07:41:25+00:00,0.14,False,2026-05-06T07:46:25+00:00,0.15,2026-05-06T08:06:25+00:00,0.15,filled,0.09999999999999981
Miami,polymarket,114804271894982121980731173088377309764570850472853600164450085672265661761181,90-91°F,10,2026-05-06T11:11:27+00:00,0.1,2026-05-06T11:26:27+00:00,0.1,False,2026-05-06T11:31:27+00:00,0.11,2026-05-06T12:16:28+00:00,0.11,filled,0.09999999999999995
Miami,polymarket,114804271894982121980731173088377309764570850472853600164450085672265661761181,90-91°F,10,2026-05-06T12:21:28+00:00,0.13,2026-05-06T13:06:29+00:00,0.13,False,2026-05-06T13:11:29+00:00,0.14,2026-05-06T14:06:30+00:00,0.14,filled,0.10000000000000009
Miami,polymarket,114804271894982121980731173088377309764570850472853600164450085672265661761181,90-91°F,10,2026-05-06T14:16:29+00:00,0.11,2026-05-06T14:36:30+00:00,0.11,False,2026-05-06T14:36:30+00:00,0.15,2026-05-06T14:46:30+00:00,0.15,filled,0.3999999999999999
Miami,polymarket,114804271894982121980731173088377309764570850472853600164450085672265661761181,90-91°F,10,2026-05-06T15:06:30+00:00,0.1,2026-05-06T15:11:31+00:00,0.1,False,2026-05-06T20:06:33+00:00,0.11,2026-05-06T21:56:35+00:00,0.002,forced_close_eow,-0.98
LA,kalshi,KXHIGHLAX-26MAY06-B66.5,66° to 67°,10,2026-05-06T02:46:30+00:00,0.12,2026-05-06T02:56:30+00:00,0.12,False,2026-05-06T03:01:30+00:00,0.13,2026-05-06T04:01:32+00:00,0.13,filled,8.326672684688674e-17
LA,kalshi,KXHIGHLAX-26MAY06-B66.5,66° to 67°,10,2026-05-06T05:16:35+00:00,0.11,2026-05-06T05:26:35+00:00,0.11,False,2026-05-06T08:16:34+00:00,0.12,2026-05-06T17:26:40+00:00,0.03,forced_close_eow,-0.9
LA,kalshi,KXHIGHLAX-26MAY06-B68.5,68° to 69°,10,2026-05-06T02:16:31+00:00,0.54,2026-05-06T02:46:30+00:00,0.54,False,2026-05-06T02:51:31+00:00,0.55,2026-05-06T02:56:30+00:00,0.55,filled,8.326672684688674e-17
